TLD,Server,Exclude
verisign,whois.nic.verisign,0
bosch,whois.nic.bosch,0
author,whois.nic.author,0
buy,whois.afilias-srs.net,0
call,whois.nic.call,0
circle,whois.nic.circle,0
fast,whois.nic.fast,0
firestone,whois.nic.firestone,0
got,whois.nic.got,0
jot,whois.nic.jot,0
joy,whois.nic.joy,0
like,whois.nic.like,0
nowruz,whois.agitsys.net,0
pin,whois.nic.pin,0
read,whois.nic.read,0
room,whois.nic.room,0
safe,whois.nic.safe,0
sharp,whois.nic.gmo,0
shia,whois.agitsys.net,0
smile,whois.nic.smile,0
tci,whois.agitsys.net,0
zero,whois.nic.zero,0
dealer,whois.nic.dealer,0
pars,whois.agitsys.net,0
contact,whois.nic.contact,0
tushu,whois.nic.tushu,0
watches,whois.nic.watches,0
kfh,whois.centralnic.com,0
wanggou,whois.nic.wanggou,0
lincoln,whois.nic.lincoln,0
sas,whois.nic.sas,0
诺基亚,whois.afilias-srs.net,0
clinique,whois.afilias-srs.net,0
analytics,whois.nic.analytics,0
mobily,whois.nic.mobily,0
pid,whois.nic.pid,0
star,whois.afilias-srs.net,0
lamer,whois.afilias-srs.net,0
origins,whois.afilias-srs.net,0
rexroth,whois.nic.rexroth,0
safety,whois.nic.safety,0
baidu,whois.ngtld.cn,0
living,whois.nic.living,0
dubai,whois.nic.dubai,0
frontier,whois.nic.frontier,0
fresenius,whois.ksregistry.net,0
alibaba,whois.nic.alibaba,0
weather,whois.nic.weather,0
lifeinsurance,whois.nic.lifeinsurance,0
iselect,whois.nic.iselect,0
mlb,whois.nic.mlb,0
compare,whois.nic.compare,0
select,whois.nic.select,0
alipay,whois.nic.alipay,0
softbank,whois.nic.softbank,0
edeka,whois.afilias-srs.net,0
pamperedchef,whois.nic.pamperedchef,0
taobao,whois.nic.taobao,0
tiffany,whois.nic.tiffany,0
tmall,whois.nic.tmall,0
adac,whois.nic.adac,0
health,whois.nic.health,0
helsinki,whois.afilias-srs.net,0
spot,whois.nic.spot,0
weatherchannel,whois.nic.weatherchannel,0
nfl,whois.nic.nfl,0
coupon,whois.nic.coupon,0
kerrylogistics,whois.nic.kerrylogistics,0
song,whois.nic.song,0
tvs,whois.afilias-srs.net,0
flickr,whois.nic.flickr,0
gallup,whois.afilias-srs.net,0
hdfcbank,whois.afilias-srs.net,0
pwc,whois.afilias-srs.net,0
wolterskluwer,whois.afilias-srs.net,0
yahoo,whois.nic.yahoo,0
telecity,whois.nic.telecity,0
viking,whois.afilias-srs.net,0
afamilycompany,whois.nic.afamilycompany,0
tunes,whois.nic.tunes,0
passagens,whois.nic.passagens,0
avianca,whois.afilias-srs.net,0
kerryproperties,whois.nic.kerryproperties,0
kuokgroup,whois.nic.kuokgroup,0
imamat,whois.afilias-srs.net,0
olayan,whois.nic.olayan,0
bcg,whois.afilias-srs.net,0
total,whois-total.nic.fr,0
fidelity,whois.nic.fidelity,0
jnj,whois.nic.jnj,0
gallo,whois.nic.gallo,0
anquan,whois.teleinfo.cn,0
barefoot,whois.nic.barefoot,0
hkt,whois.afilias-srs.net,0
talk,whois.nic.talk,0
you,whois.nic.you,0
kpmg,whois.nic.kpmg,0
shouji,whois.teleinfo.cn,0
sina,whois.afilias-srs.net,0
xihuan,whois.teleinfo.cn,0
yun,whois.teleinfo.cn,0
mutual,whois.nic.mutual,0
abbvie,whois.afilias-srs.net,0
abudhabi,whois.nic.abudhabi,0
baby,whois.nic.baby,0
northwesternmutual,whois.nic.northwesternmutual,0
vig,whois.afilias-srs.net,0
weibo,whois.afilias-srs.net,0
微博,whois.afilias-srs.net,0
mls,whois.nic.mls,0
olayangroup,whois.nic.olayangroup,0
agakhan,whois.afilias-srs.net,0
akdn,whois.afilias-srs.net,0
richardli,whois.afilias-srs.net,0
ftr,whois.nic.ftr,0
ismaili,whois.afilias-srs.net,0
sbi,whois.afilias-srs.net,0
statebank,whois.afilias-srs.net,0
nab,whois.nic.nab,0
嘉里,whois.nic.xn--w4rs40l,0
progressive,whois.afilias-srs.net,0
nowtv,whois.afilias-srs.net,0
lpl,whois.nic.lpl,0
ikano,whois.ikano.tld-box.at,0
pccw,whois.afilias-srs.net,0
dds,whois-dub.mm-registry.com,0
able,whois.nic.able,0
aetna,whois.nic.aetna,0
metlife,whois.afilias-srs.net,0
flir,whois.nic.flir,0
電訊盈科,whois.afilias-srs.net,0
tiaa,whois.nic.tiaa,0
netflix,whois.nic.netflix,0
shangrila,whois.nic.shangrila,0
mit,whois.afilias-srs.net,0
dot,whois.afilias-srs.net,0
itv,whois.afilias-srs.net,0
lancome,whois.nic.lancome,0
realestate,whois.nic.realestate,0
mattel,whois.nic.mattel,0
dtv,whois.afilias-srs.net,0
locker,whois.afilias-srs.net,0
ollo,whois.afilias-srs.net,0
ott,whois.afilias-srs.net,0
lancia,whois.afilias-srs.net,0
msd,whois.nic.msd,0
ups,whois.afilias-srs.net,0
hisamitsu,whois.nic.gmo,0
pioneer,whois.nic.gmo,0
zappos,whois.nic.zappos,0
farmers,whois.nic.farmers,0
cbre,whois.nic.cbre,0
audible,whois.nic.audible,0
chintai,whois.nic.chintai,0
deal,whois.nic.deal,0
epost,whois.nic.epost,0
fire,whois.nic.fire,0
imdb,whois.nic.imdb,0
kindle,whois.nic.kindle,0
now,whois.nic.now,0
prime,whois.nic.prime,0
save,whois.nic.save,0
silk,whois.nic.silk,0
tdk,whois.nic.tdk,0
dunlop,whois.afilias-srs.net,0
goodyear,whois.afilias-srs.net,0
kosher,whois.afilias-srs.net,0
anz,whois.nic.anz,0
orientexpress,whois.afilias-srs.net,0
fedex,whois.afilias-srs.net,0
cookingchannel,whois.nic.cookingchannel,0
foodnetwork,whois.nic.foodnetwork,0
frontdoor,whois.nic.frontdoor,0
hgtv,whois.nic.hgtv,0
politie,whois.nic.politie,0
travelchannel,whois.nic.travelchannel,0
woodside,whois.nic.woodside,0
fujixerox,whois.nic.fujixerox,0
pnc,whois.afilias-srs.net,0
香格里拉,whois.nic.xn--5su34j936bgsg,0
zippo,whois.nic.zippo,0
nike,whois.nic.nike,0
citadel,whois.nic.citadel,0
homegoods,whois.nic.homegoods,0
bbt,whois.nic.bbt,0
comcast,whois.nic.comcast,0
fujitsu,whois.nic.gmo,0
godaddy,whois.afilias-srs.net,0
mitsubishi,whois.nic.gmo,0
xfinity,whois.nic.xfinity,0
ses,whois.nic.ses,0
intuit,whois.nic.intuit,0
beauty,whois.nic.beauty,0
macys,whois.nic.macys,0
mint,whois.nic.mint,0
homesense,whois.nic.homesense,0
allstate,whois.afilias-srs.net,0
goodhands,whois.afilias-srs.net,0
lefrak,whois.nic.lefrak,0
lundbeck,whois.nic.lundbeck,0
marshalls,whois.nic.marshalls,0
nationwide,whois.nic.nationwide,0
onyourside,whois.nic.onyourside,0
panasonic,whois.nic.gmo,0
pfizer,whois.nic.pfizer,0
smart,whois-gtld.smart.com.ph,0
staples,whois.nic.staples,0
tjmaxx,whois.nic.tjmaxx,0
tjx,whois.nic.tjx,0
tkmaxx,whois.nic.tkmaxx,0
vivo,whois.nic.vivo,0
winners,whois.nic.winners,0
amfam,whois.nic.amfam,0
ladbrokes,whois.nic.ladbrokes,0
vanguard,whois.nic.vanguard,0
bestbuy,whois.afilias-srs.net,0
lplfinancial,whois.nic.lplfinancial,0
doctor,whois.donuts.co,0
duck,whois.nic.duck,0
ieee,whois.nic.ieee,0
off,whois.nic.off,0
raid,whois.nic.raid,0
rightathome,whois.nic.rightathome,0
scjohnson,whois.nic.scjohnson,0
swiftcover,whois.nic.swiftcover,0
honeywell,whois.nic.honeywell,0
booking,whois.nic.booking,0
esurance,whois.afilias-srs.net,0
abc,whois.nic.abc,0
capitalone,whois.nic.capitalone,0
eco,whois.afilias-srs.net,0
americanfamily,whois.nic.americanfamily,0
chrysler,whois.afilias-srs.net,0
glade,whois.nic.glade,0
hyatt,whois.nic.hyatt,0
intel,whois.nic.intel,0
jeep,whois.afilias-srs.net,0
pramerica,whois.nic.pramerica,0
pru,whois.nic.pru,0
prudential,whois.nic.prudential,0
srt,whois.afilias-srs.net,0
uconnect,whois.afilias-srs.net,0
visa,whois.nic.visa,0
ferrari,whois.afilias-srs.net,0
lilly,whois.nic.lilly,0
mckinsey,whois.afilias-srs.net,0
alfaromeo,whois.afilias-srs.net,0
bofa,whois.nic.bofa,0
fiat,whois.afilias-srs.net,0
juniper,whois.nic.juniper,0
mopar,whois.afilias-srs.net,0
nba,whois.nic.nba,0
asda,whois.nic.asda,0
abarth,whois.afilias-srs.net,0
athleta,whois.nic.athleta,0
bananarepublic,whois.nic.bananarepublic,0
blockbuster,whois.afilias-srs.net,0
calvinklein,whois.nic.calvinklein,0
cbs,whois.afilias-srs.net,0
dodge,whois.afilias-srs.net,0
gap,whois.nic.gap,0
latino,whois.afilias-srs.net,0
maserati,whois.afilias-srs.net,0
oldnavy,whois.nic.oldnavy,0
showtime,whois.afilias-srs.net,0
target,whois.nic.target,0
diy,whois.nic.diy,0
americanexpress,whois.nic.americanexpress,0
amex,whois.nic.amex,0
mcd,whois.nic.mcd,0
mcdonalds,whois.nic.mcdonalds,0
open,whois.nic.open,0
dish,whois.afilias-srs.net,0
hot,whois.nic.hot,0
hughes,whois.afilias-srs.net,0
pay,whois.nic.pay,0
secure,whois.nic.secure,0
sling,whois.afilias-srs.net,0
hbo,whois.nic.hbo,0
ubank,whois.nic.ubank,0
hdfc,whois.afilias-srs.net,0
aigo,whois.afilias-srs.net,0
大众汽车,whois.afilias-srs.net,0
auspost,whois.nic.auspost,0
george,whois.nic.george,0
samsclub,whois.nic.samsclub,0
walmart,whois.nic.walmart,0
doosan,whois.nic.doosan,0
ac,whois.nic.ac,0
ae,whois.aeda.net.ae,0
aero,whois.aero,0
af,whois.nic.af,0
ag,whois.nic.ag,0
ai,whois.ai,0
al,whois.nic.al,0
am,whois.amnic.net,0
ar,whois.nic.ar,0
arpa,whois.iana.org,0
as,whois.nic.as,0
asia,whois.nic.asia,0
at,whois.nic.at,0
au,whois.audns.net.au,0
aw,whois.nic.aw,0
ax,whois.ax,0
be,whois.dns.be,0
bg,whois.register.bg,0
bh,whois.nic.bh,0
bi,whois1.nic.bi,0
bj,whois.nic.bj,0
bn,whois.bnnic.bn,0
bnpparibas,whois.afilias-srs.net,0
bo,whois.nic.bo,0
br,whois.registro.br,0
bw,whois.nic.net.bw,0
by,whois.cctld.by,0
ca,whois.cira.ca,0
cc,ccwhois.verisign-grs.com,0
cd,whois.nic.cd,0
cf,whois.dot.cf,0
ch,whois.nic.ch,0
ci,whois.nic.ci,0
ck,whois.nic.ck,0
cl,whois.nic.cl,0
cm,whois.nic.cm,0
cn,whois.cnnic.cn,0
co,whois.nic.co,0
cr,whois.nic.cr,0
cx,whois.nic.cx,0
cz,whois.nic.cz,0
de,whois.denic.de,0
dk,whois.dk-hostmaster.dk,0
dm,whois.nic.dm,0
do,whois.nic.do,0
dz,whois.nic.dz,0
ec,whois.nic.ec,0
edu,whois.educause.edu,0
ee,whois.tld.ee,0
es,whois.nic.es,0
eu,whois.eu,0
fi,whois.fi,0
fk,whois.nic.fk,0
fm,whois.nic.fm,0
fo,whois.nic.fo,0
fr,whois.nic.fr,0
gd,whois.nic.gd,0
gdn,whois.nic.gdn,0
gf,whois.nic.gf,0
gg,whois.gg,0
gh,whois.nic.gh,0
gi,whois2.afilias-grs.net,0
gl,whois.nic.gl,0
gov,whois.dotgov.gov,0
gp,whois.nic.gp,0
gq,whois.dominio.gq,0
gs,whois.nic.gs,0
gy,whois.registry.gy,0
hk,whois.hkirc.hk,0
hm,whois.registry.hm,0
hn,whois.nic.hn,0
hr,whois.dns.hr,0
ht,whois.nic.ht,0
hu,whois.nic.hu,0
id,whois.pandi.or.id,0
ie,whois.domainregistry.ie,0
ifm,whois.nic.ifm,0
il,whois.isoc.org.il,0
im,whois.nic.im,0
in,whois.inregistry.net,0
int,whois.iana.org,0
io,whois.nic.io,0
iq,whois.cmc.iq,0
ir,whois.nic.ir,0
is,whois.isnic.is,0
it,whois.nic.it,0
je,whois.je,0
jp,whois.jprs.jp,0
ke,whois.kenic.or.ke,0
kg,whois.domain.kg,0
ki,whois.nic.ki,0
kr,whois.kr,0
ky,whois.kyregistry.ky,0
kz,whois.nic.kz,0
la,whois.nic.la,0
lc,whois.nic.lc,0
li,whois.nic.li,0
lk,whois.nic.lk,0
lt,whois.domreg.lt,0
lu,whois.dns.lu,0
lv,whois.nic.lv,0
ly,whois.nic.ly,0
ma,whois.registre.ma,0
md,whois.nic.md,0
me,whois.nic.me,0
mg,whois.nic.mg,0
mk,whois.marnet.mk,0
ml,whois.dot.ml,0
mn,whois.nic.mn,0
mo,whois.monic.mo,0
mp,whois.nic.mp,0
ms,whois.nic.ms,0
mt,whois.nic.mt,0
mu,whois.nic.mu,0
mx,whois.mx,0
my,whois.mynic.my,0
mz,whois.nic.mz,0
na,whois.na-nic.com.na,0
name,whois.nic.name,0
nc,whois.nc,0
nf,whois.nic.nf,0
ng,whois.nic.net.ng,0
nl,whois.domain-registry.nl,0
no,whois.norid.no,0
nu,whois.iis.nu,0
nz,whois.srs.net.nz,0
om,whois.registry.om,0
pe,kero.yachay.pe,0
pf,whois.registry.pf,0
ph,whois.nic.ph,0
pl,whois.dns.pl,0
pm,whois.nic.pm,0
post,whois.dotpostregistry.net,0
pr,whois.nic.pr,0
ps,whois.nic.ps,0
pt,whois.dns.pt,0
pw,whois.nic.pw,0
qa,whois.registry.qa,0
re,whois.nic.re,0
ro,whois.rotld.ro,0
rs,whois.rnids.rs,0
ru,whois.tcinet.ru,0
sa,whois.nic.net.sa,0
sb,whois.nic.net.sb,0
sc,whois2.afilias-grs.net,0
se,whois.iis.se,0
sg,whois.sgnic.sg,0
sh,whois.nic.sh,0
si,whois.register.si,0
sk,whois.sk-nic.sk,0
sl,whois.nic.sl,0
sm,whois.nic.sm,0
sn,whois.nic.sn,0
so,whois.nic.so,0
st,whois.nic.st,0
su,whois.tcinet.ru,0
sx,whois.sx,0
sy,whois.tld.sy,0
tc,whois.nic.tc,0
tel,whois.nic.tel,0
tf,whois.nic.tf,0
tg,whois.nic.tg,0
th,whois.thnic.co.th,0
tk,whois.dot.tk,0
tl,whois.nic.tl,0
tm,whois.nic.tm,0
tn,whois.ati.tn,0
to,whois.tonic.to,0
tr,whois.nic.tr,0
tv,tvwhois.verisign-grs.com,0
tw,whois.twnic.net.tw,0
tz,whois.tznic.or.tz,0
ua,whois.ua,0
ug,whois.co.ug,0
uk,whois.nic.uk,0
us,whois.nic.us,0
uy,whois.nic.org.uy,0
uz,whois.cctld.uz,0
vc,whois2.afilias-grs.net,0
ve,whois.nic.ve,0
vg,whois.nic.vg,0
vi,whois.nic.vi,0
vn,whois.nic.vn,0
vu,vunic.vu,0
wf,whois.nic.wf,0
ws,whois.website.ws,0
한국,whois.kr,0
қаз,whois.nic.kz,0
срб,whois.rnids.rs,0
бел,whois.cctld.by,0
சிங்கப்பூர்,whois.sgnic.sg,0
мкд,whois.marnet.mk,0
中国,cwhois.cnnic.cn,0
中國,cwhois.cnnic.cn,0
укр,whois.dotukr.com,0
香港,whois.hkirc.hk,0
台湾,whois.twnic.net.tw,0
台灣,whois.twnic.net.tw,0
政府,whois.nic.xn--mxtq1m,0
გე,whois.itdc.ge,0
ไทย,whois.thnic.co.th,0
рф,whois.tcinet.ru,0
հայ,whois.amnic.net,0
新加坡,whois.sgnic.sg,0
yt,whois.nic.yt,0
zm,whois.nic.zm,0
unicom,whois.nic.unicom,0
澳門,whois.monic.mo,0
htc,whois.nic.htc,0
shaw,whois.afilias-srs.net,0
wow,whois.nic.wow,0
alstom,whois.nic.alstom,0
бг,whois.imena.bg,0
duns,whois.nic.duns,0
banamex,whois.nic.banamex,0
citi,whois.nic.citi,0
discover,whois.nic.discover,0
fido,whois.afilias-srs.net,0
loft,whois.nic.loft,0
qvc,whois.nic.qvc,0
monster,whois.afilias-srs.net,0
rogers,whois.afilias-srs.net,0
